Фото,Камень,Номер,Адрес,Огранка,Кол-во,Вес ct,Длина,Ширин,Глубин,Цена $ за  ct
,изумруд,1,больш,фантазийная,1,12.89,15.0,20.7,7.2,3000
,изумруд,2,больш,фантазийная,1,9.95,17.5,9.5,8.5,600
,изумруд,7,больш,фантазийная,1,12.92,16.5,13.5,,420
,изумруд,8,11,октагон,1,4.76,11.2,7.8,,160
,изумруд,10,больш,октагон,1,13.39,18.8,9.5,,320
,изумруд,11,больш,октагон,1,5.23,15.9,7.0,,360
,шпинель (лаб),95,5,круг,3,4.11,"8,9 5,4",,"5    3,1",200 за лот 
,александрит (лаб),96,21,фантазийная,3,13.64,10.7,7.6,6.4,300 за лот
,александрит,98,5,овал,1,9.11,18.0,9.9,6.7,180
,александрит,99,5,овал,1,9.07,17.1,10.1,6.8,180
,изумруд,1'1,11,октагон,1,1.13,7.0,5.0,4.2,200
,изумруд,1'10,18,багет,1,1.38,8.7,4.7,4.4,150
,изумруд,1'2,18,октагон,1,1.03,8.3,4.8,3.1,350
,изумруд,1'3,11,октагон,1,2.10,9.0,5.9,5.5,300
,изумруд,1'4,18,багет,1,3.31,12.0,6.0,5.4,480
,изумруд,1'5,18,октагон,1,2.48,13.5,5.1,4.2,200
,изумруд,1'6,18,октагон,1,2.00,11.5,4.6,4.6,220
,изумруд,1'7,18,октагон,1,1.77,11.1,4.8,4.3,220
,изумруд,1'8,18,багет,1,1.39,8.8,4.6,4.5,120
,изумруд,1'9,18,багет,1,1.00,9.8,4.3,2.6,90
,изумруд,2'1,18,багет,1,0.91,8.6,3.8,3.2,450
,изумруд,2'10,18,принцесса,1,0.74,4.8,4.8,4.2,80
,изумруд,2'2,18,багет,1,1.14,6.7,5.1,4.8,380
,изумруд,2'3,18,ашер,1,1.10,5.3,5.5,5.4,260
,изумруд,2'4,18,багет,1,1.52,8.10,5.0,4.8,150
,изумруд,2'5,18,багет,1,1.03,8.1,5.7,3.3,100
,изумруд,2'6,18,багет,1,1.05,6.5,4.8,4.4,380
,изумруд,2'7,18,принцесса,1,1.05,5.2,5.5,4.3,260
,изумруд,2'8,18,фантазийная,1,0.52,5.6,4.5,3.8,220
,изумруд,2'9,18,багет,1,0.38,5.4,3.6,2.2,180
,изумруд,3'1,18,багет,1,0.78,5.5,4.9,3.8,450
,изумруд,3'10,18,фантазийная,1,2.55,11.8,6.4,4.6,700
,изумруд,3'2,18,багет,1,0.25,4.7,3.2,2.4,200
,изумруд,3'3,4,багет,1,0.35,5.2,3.1,2.4,150
,изумруд,3'4,18,багет,1,0.47,5.2,3.6,3.1,280
,изумруд,3'5,18,принцесса,1,0.74,5.0,4.8,4.1,250
,изумруд,3'6,14,багет,1,1.06,7.6,4.1,4.2,300
,изумруд,3'7,18,багет,1,0.79,6.0,4.4,3.8,220
,изумруд,3'8,18,багет,1,0.83,8.6,4.0,2.7,140
